azimuth,elevation,response
3,-69,-3.808538436524845
3,-68,-3.370870278868403
3,-67,-2.9321953156416036
3,-66,-2.5335908467993917
3,-65,-2.2055602614677197
3,-64,-1.9916697747358627
3,-63,-1.9379033822230753
3,-62,-2.0035591321929407
3,-61,-2.121572751156408
3,-60,-2.297021903500786
3,-59,-2.552380362330504
3,-58,-2.8957559220070554
3,-57,-3.3053839113715204
3,-56,-3.759810382155333
3,-55,-4.218079806091824
3,-54,-4.6049305157628
3,-53,-4.842450654809732
3,-52,-5.027863976136502
3,-51,-5.260003645729791
3,-50,-5.354292790116156
3,-49,-5.237041915570917
3,-48,-4.950830818828612
3,-47,-4.695329600474328
3,-46,-4.3630481263477865
3,-45,-3.849539114149972
3,-44,-3.23741853265944
3,-43,-2.6062936883419816
3,-42,-1.9991959124587098
3,-41,-1.4407045932820857
3,-40,-0.956015263215013
3,-39,-0.5502846358096701
3,-38,-0.21025613610097618
3,-37,0.056846583089256636
3,-36,0.25396433369463883
3,-35,0.39589569517987255
3,-34,0.49326740763544336
3,-33,0.5563165480786005
3,-32,0.5906983582666999
3,-31,0.5999198088219554
3,-30,0.5875849201182941
3,-29,0.5513098450657105
3,-28,0.5079955706426745
3,-27,0.5669550103356851
3,-26,0.6955363711359586
3,-25,0.8334847691821385
3,-24,1.0183279815049247
3,-23,1.2863630683570402
3,-22,1.6649602053591084
3,-21,2.183329128644838
3,-20,2.871602146599
3,-19,3.845761713027868
3,-18,5.111448686050722
3,-17,6.351395935539195
3,-16,7.573972716884038
3,-15,8.836237418970102
3,-14,10.048213885289078
3,-13,11.12231438407869
3,-12,11.996862423700946
3,-11,12.619969125400893
3,-10,12.938909309721367
3,-9,12.874148390163775
3,-8,12.445778247544746
3,-7,11.75051340337995
3,-6,10.882112898972757
3,-5,9.923221041684327
3,-4,8.97695702212287
3,-3,8.149802474122147
3,-2,7.560424242505689
3,-1,7.178698523935447
3,0,6.792987963761089
3,1,6.349052864151214
3,2,5.8656769785498035
3,3,5.6652593813964485
3,4,5.792793713409778
3,5,6.120136864962763
3,6,6.534651704552457
3,7,6.927808058242828
3,8,7.223466793336882
3,9,7.343397050154334
3,10,7.206578372937364
3,11,6.81444934985517
3,12,6.254498143907301
3,13,5.620953085408994
3,14,4.910506643289402
3,15,4.093231840281217
3,16,3.1542882414111917
3,17,2.079321598723223
3,18,0.8761538209516502
3,19,-0.41910932909212345
3,20,-1.7686543621022162
3,21,-3.2819754043966416
3,22,-4.974098267089633
3,23,-6.5460928728170895
3,24,-8.091381728479206
3,25,-9.71295919350824
3,26,-11.320196475949233
3,27,-12.826683763545205
3,28,-14.14322905300342
3,29,-15.122403303279166
3,30,-15.609905483682446
3,31,-15.482435351286679
3,32,-14.816683764494753
3,33,-13.758336344610928
3,34,-12.44688235883966
3,35,-11.020291301366607
3,36,-9.693344210734434
3,37,-8.69029203486117
3,38,-7.88978591796742
3,39,-7.093299786279235
3,40,-6.668171489600147
3,41,-6.696815524234545
3,42,-7.041681760827487
3,43,-7.607431909269041
3,44,-8.301742833736292
3,45,-9.038392961097614
3,46,-9.70212506651831
3,47,-10.173669636571816
3,48,-10.494476462298264
3,49,-10.792155543248853
3,50,-11.124412147226039
3,51,-11.56234902599021
3,52,-12.098944595202843
3,53,-12.469089621345319
3,54,-12.588081255597208
3,55,-12.474157340386649
3,56,-12.177713276151167
3,57,-11.747073181025753
3,58,-11.202800448077232
3,59,-10.548741505243088
3,60,-9.78888025014606
3,61,-8.91211992345649
3,62,-7.977220509820631
3,63,-7.239177718514073
3,64,-6.587729135292839
3,65,-5.86426952226771
3,66,-5.126274806433678
3,67,-4.4285360080926095
3,68,-3.8173462688391666
3,69,-3.3600869489133816
3,70,-3.12737172133268
3,71,-3.2307272638587006
3,72,-3.6744449848439666
3,73,-4.368285653192238
3,74,-5.225913532039661
3,75,-6.158755093317036
3,76,-7.0248778185552165
3,77,-7.67602844367853
3,78,-8.071882637820092
3,79,-8.323139007840178
3,80,-8.60998629080584
3,81,-8.964122331069944
3,82,-9.335488373334535
3,83,-9.388134289654452
3,84,-9.135832541787753
3,85,-8.723039500862592
3,86,-8.187374282459189
3,87,-7.564878742776006
3,88,-6.886707298465544
3,89,-6.196565552320045
3,90,-5.54006957288715
4,-90,-2.5723338291774995
4,-89,-2.706174928812081
4,-88,-2.929943152172548
4,-87,-3.2037050540026666
4,-86,-3.501577301641924
4,-85,-3.849460608474831
4,-84,-4.2850975983126975
4,-83,-4.842029632468552
4,-82,-5.475953914588661
4,-81,-5.976724070069193
4,-80,-6.1417794255333
4,-79,-5.983709742463017
4,-78,-5.591410559280082
4,-77,-5.1448511209144545
4,-76,-4.866273444042755
4,-75,-4.7405685872982355
4,-74,-4.656920398300323
4,-73,-4.58199082270948
4,-72,-4.469102218812663
4,-71,-4.2791353369253375
4,-70,-3.9900897107507443
4,-69,-3.6046637348394106
4,-68,-3.1691473591286563
4,-67,-2.726927450401912
4,-66,-2.340733119682433
4,-65,-2.0750248972173573
4,-64,-1.9757867786259387
4,-63,-1.9987162157229406
4,-62,-2.0728595301680626
4,-61,-2.2043111657854357
4,-60,-2.3944322572188725
4,-59,-2.665719464913179
4,-58,-3.02688811079642
4,-57,-3.4561735237096762
4,-56,-3.9106095209713607
4,-55,-4.309798463100144
4,-54,-4.5758284937375
4,-53,-4.796455337005479
4,-52,-5.084662492492496
4,-51,-5.330880872748337
4,-50,-5.420569824077191
4,-49,-5.3041701736517375
4,-48,-4.999906518757911
4,-47,-4.633603349459658
4,-46,-4.321226849733834
4,-45,-3.9378339463638175
4,-44,-3.387318442977457
4,-43,-2.752296308353305
4,-42,-2.1203126643134604
4,-41,-1.5406323417629233
4,-40,-1.0384508731045952
